
Campaign: การประปานครหลวง, Keyword: การประปานครหลวง, Datetime:2024-05-15 20:34:36, Part:กวาดข้อมูล, CPU:11.6%
Campaign: การประปานครหลวง, Keyword: การประปานครหลวง, Datetime:2024-05-15 20:35:22, Part:กวาดข้อมูล, CPU:3.1%
Campaign: การประปานครหลวง, Keyword: การประปานครหลวง, Datetime:2024-05-15 20:35:29, Part:กวาดข้อมูล, CPU:3.9%
Campaign: การประปานครหลวง, Keyword: การประปานครหลวง, Datetime:2024-05-15 20:35:46, Part:กวาดข้อมูล, CPU:7.1%
Campaign: การประปานครหลวง, Keyword: การประปานครหลวง, Datetime:2024-05-15 20:35:59, Part:กวาดข้อมูล, CPU:16.1%
Campaign: การประปานครหลวง, Keyword: การประปานครหลวง, Datetime:2024-05-15 20:36:06, Part:กวาดข้อมูล, CPU:13.7%
Campaign: การประปานครหลวง, Keyword: การประปานครหลวง, Datetime:2024-05-15 20:36:42, Part:กวาดข้อมูล, CPU:10.3%
Campaign: การประปานครหลวง, Keyword: การประปานครหลวง, Datetime:2024-05-15 20:36:55, Part:กวาดข้อมูล, CPU:13.1%
Campaign: การประปานครหลวง, Keyword: การประปานครหลวง, Datetime:2024-05-15 20:37:01, Part:กวาดข้อมูล, CPU:8.7%
Campaign: การประปานครหลวง, Keyword: การประปานครหลวง, Datetime:2024-05-15 20:37:28, Part:กวาดข้อมูล, CPU:6.6%
Campaign: การประปานครหลวง, Keyword: การประปานครหลวง, Datetime:2024-05-15 20:37:36, Part:กวาดข้อมูล, CPU:11.4%
Campaign: การประปานครหลวง, Keyword: การประปานครหลวง, Datetime:2024-05-15 20:37:43, Part:กวาดข้อมูล, CPU:11.5%
Campaign: การประปานครหลวง, Keyword: การประปานครหลวง, Datetime:2024-05-15 20:37:49, Part:กวาดข้อมูล, CPU:8.8%
Campaign: การประปานครหลวง, Keyword: การประปานครหลวง, Datetime:2024-05-15 20:38:33, Part:กวาดข้อมูล, CPU:11.3%
Campaign: การประปานครหลวง, Keyword: การประปานครหลวง, Datetime:2024-05-15 20:38:41, Part:กวาดข้อมูล, CPU:12.4%
Campaign: การประปานครหลวง, Keyword: การประปานครหลวง, Datetime:2024-05-15 20:39:01, Part:กวาดข้อมูล, CPU:8.3%
Campaign: การประปานครหลวง, Keyword: การประปานครหลวง, Datetime:2024-05-15 20:39:09, Part:กวาดข้อมูล, CPU:38.6%
Campaign: การประปานครหลวง, Keyword: การประปานครหลวง, Datetime:2024-05-15 20:39:33, Part:กวาดข้อมูล, CPU:10.7%
Campaign: การประปานครหลวง, Keyword: การประปานครหลวง, Datetime:2024-05-15 20:39:41, Part:กวาดข้อมูล, CPU:12.7%
Campaign: การประปานครหลวง, Keyword: การประปานครหลวง, Datetime:2024-05-15 20:39:47, Part:กวาดข้อมูล, CPU:9.0%
Campaign: การประปานครหลวง, Keyword: การประปานครหลวง, Datetime:2024-05-15 20:39:52, Part:กวาดข้อมูล, CPU:11.8%
Campaign: การประปานครหลวง, Keyword: การประปานครหลวง, Datetime:2024-05-15 20:39:59, Part:กวาดข้อมูล, CPU:7.0%
Campaign: การประปานครหลวง, Keyword: การประปานครหลวง, Datetime:2024-05-15 20:40:05, Part:กวาดข้อมูล, CPU:4.9%
Campaign: การประปานครหลวง, Keyword: การประปานครหลวง, Datetime:2024-05-15 20:40:30, Part:กวาดข้อมูล, CPU:14.5%
Campaign: การประปานครหลวง, Keyword: การประปานครหลวง, Datetime:2024-05-15 20:41:02, Part:กวาดข้อมูล, CPU:9.6%
Campaign: การประปานครหลวง, Keyword: การประปานครหลวง, Datetime:2024-05-15 20:41:28, Part:กวาดข้อมูล, CPU:14.5%
Campaign: การประปานครหลวง, Keyword: การประปานครหลวง, Datetime:2024-05-15 20:41:39, Part:กวาดข้อมูล, CPU:17.2%
Campaign: การประปานครหลวง, Keyword: การประปานครหลวง, Datetime:2024-05-15 20:41:50, Part:กวาดข้อมูล, CPU:15.6%
Campaign: การประปานครหลวง, Keyword: การประปานครหลวง, Datetime:2024-05-15 20:42:01, Part:กวาดข้อมูล, CPU:17.1%
Campaign: การประปานครหลวง, Keyword: การประปานครหลวง, Datetime:2024-05-15 20:42:14, Part:กวาดข้อมูล, CPU:4.2%
Campaign: การประปานครหลวง, Keyword: การประปานครหลวง, Datetime:2024-05-15 20:42:21, Part:กวาดข้อมูล, CPU:15.5%
Campaign: การประปานครหลวง, Keyword: การประปานครหลวง, Datetime:2024-05-15 20:42:27, Part:กวาดข้อมูล, CPU:4.0%
Campaign: การประปานครหลวง, Keyword: การประปานครหลวง, Datetime:2024-05-15 20:43:25, Part:กวาดข้อมูล, CPU:3.2%
Campaign: การประปานครหลวง, Keyword: การประปานครหลวง, Datetime:2024-05-15 20:43:42, Part:กวาดข้อมูล, CPU:2.9%
Campaign: การประปานครหลวง, Keyword: การประปานครหลวง, Datetime:2024-05-15 20:44:00, Part:กวาดข้อมูล, CPU:9.2%
Campaign: การประปานครหลวง, Keyword: การประปานครหลวง, Datetime:2024-05-15 20:44:06, Part:กวาดข้อมูล, CPU:16.2%
Campaign: การประปานครหลวง, Keyword: การประปานครหลวง, Datetime:2024-05-15 20:44:12, Part:กวาดข้อมูล, CPU:7.6%
Campaign: การประปานครหลวง, Keyword: การประปานครหลวง, Datetime:2024-05-15 20:44:18, Part:กวาดข้อมูล, CPU:6.6%
Campaign: การประปานครหลวง, Keyword: การประปานครหลวง, Datetime:2024-05-15 20:44:30, Part:กวาดข้อมูล, CPU:10.8%
Campaign: การประปานครหลวง, Keyword: การประปานครหลวง, Datetime:2024-05-15 20:44:36, Part:กวาดข้อมูล, CPU:5.1%
Campaign: การประปานครหลวง, Keyword: การประปานครหลวง, Datetime:2024-05-15 20:44:42, Part:กวาดข้อมูล, CPU:8.6%
Campaign: การประปานครหลวง, Keyword: การประปานครหลวง, Datetime:2024-05-15 20:44:56, Part:กวาดข้อมูล, CPU:11.9%
Campaign: การประปานครหลวง, Keyword: การประปานครหลวง, Datetime:2024-05-15 20:45:01, Part:กวาดข้อมูล, CPU:15.3%
Campaign: การประปานครหลวง, Keyword: การประปานครหลวง, Datetime:2024-05-15 20:45:06, Part:กวาดข้อมูล, CPU:3.8%
Campaign: การประปานครหลวง, Keyword: การประปานครหลวง, Datetime:2024-05-15 20:45:30, Part:กวาดข้อมูล, CPU:13.6%
Campaign: การประปานครหลวง, Keyword: การประปานครหลวง, Datetime:2024-05-15 20:45:36, Part:กวาดข้อมูล, CPU:16.1%
Campaign: การประปานครหลวง, Keyword: การประปานครหลวง, Datetime:2024-05-15 20:45:46, Part:กวาดข้อมูล, CPU:14.6%
Campaign: การประปานครหลวง, Keyword: การประปานครหลวง, Datetime:2024-05-15 20:45:57, Part:กวาดข้อมูล, CPU:12.3%
